Place,Cases,CasesLast14Days,AvgDailyPer100K,RelativeChange,TotalTested,TotalTestedLast14Days,TotalPositiveLast14Days,PctPositive,ChangePctPositivity,Date
Provincetown,28,,2.7,No Change,1252,68,1,0.014705882,Higher,2020-08-19
Swansea,152,,1.8,Lower,3595,476,7,0.014705882,No Change,2020-08-19
Sutton,61,5,4,Lower,1822,341,5,0.014662757,Lower,2020-08-19
Middleborough,293,12,3.2,Higher,5843,820,12,0.014634146,Higher,2020-08-19
Acushnet,106,,2,Higher,2047,276,4,0.014492754,Higher,2020-08-19
Southbridge,197,6,2.5,Lower,4141,832,12,0.014423077,No Change,2020-08-19
Topsfield,122,5,6.1,No Change,2039,347,5,0.014409222,No Change,2020-08-19
Hamilton,44,5,4.8,Higher,1651,348,5,0.014367816,No Change,2020-08-19
East Longmeadow,288,6,2.5,Lower,4029,629,9,0.014308426,Lower,2020-08-19
Milford,693,13,3.2,No Change,8795,1213,17,0.014014839,No Change,2020-08-19
Berkley,78,,2.1,Lower,1434,215,3,0.013953488,Lower,2020-08-19
Hudson,208,10,3.4,Higher,4684,861,12,0.013937282,Higher,2020-08-19
East Bridgewater,195,6,2.9,Higher,3044,432,6,0.013888889,Lower,2020-08-19
Ipswich,81,5,2.7,Lower,3322,506,7,0.013833992,Lower,2020-08-19
Marblehead,261,9,3.3,Higher,5579,812,11,0.013546798,No Change,2020-08-19
Northbridge,329,9,3.6,Lower,4296,666,9,0.013513514,Lower,2020-08-19
Worcester,5701,110,4.1,Lower,69501,11486,155,0.013494689,Lower,2020-08-19
Lowell,3086,47,2.9,Higher,39353,4785,64,0.013375131,Higher,2020-08-19
Dedham,435,9,2.4,Higher,7574,1144,15,0.013111888,Higher,2020-08-19
Lynnfield,108,6,3.7,Higher,3011,537,7,0.013035382,Lower,2020-08-19
Medford,1126,31,3.6,Lower,18326,2818,36,0.012775018,Lower,2020-08-19
Hampden,101,,2.9,Higher,1149,157,2,0.012738854,Higher,2020-08-19
Kingston,145,,1.6,Lower,3396,474,6,0.012658228,Lower,2020-08-19
Auburn,236,5,2.2,Lower,4110,650,8,0.012307692,Lower,2020-08-19
Middleton,180,,2.1,Lower,2322,331,4,0.012084592,Lower,2020-08-19
Wilbraham,239,6,2.9,Lower,3378,581,7,0.012048193,No Change,2020-08-19
Bridgewater,368,6,1.5,Higher,7489,831,10,0.012033694,Higher,2020-08-19
Norwood,608,13,3.1,Higher,8485,1174,14,0.011925043,Lower,2020-08-19
Haverhill,1306,27,2.9,Higher,18357,2549,30,0.011769321,No Change,2020-08-19
Ashland,269,8,2.9,Higher,4604,851,10,0.011750881,Higher,2020-08-19
Freetown,112,,0.8,Lower,1761,258,3,0.011627907,Lower,2020-08-19
North Reading,208,8,3.5,Higher,3614,697,8,0.011477762,No Change,2020-08-19
Fairhaven,254,6,2.7,Higher,4736,526,6,0.011406844,No Change,2020-08-19
Walpole,257,9,2.5,Higher,6269,975,11,0.011282051,Higher,2020-08-19
Northampton,316,9,2.2,Lower,9241,1619,18,0.011117974,Lower,2020-08-19
Beverly,661,15,2.6,Lower,10821,1800,20,0.011111111,Lower,2020-08-19
Mattapoisett,45,,2.5,Higher,1259,186,2,0.010752688,Higher,2020-08-19
Wilmington,350,7,2.1,Higher,5226,748,8,0.010695187,Higher,2020-08-19
Newton,864,41,3.2,Lower,25327,4613,49,0.010622155,Lower,2020-08-19
Rutland,58,,3.2,Higher,1873,377,4,0.01061008,Higher,2020-08-19
Milton,340,16,4,Higher,8067,2266,24,0.01059135,Lower,2020-08-19
Clinton,268,6,3,Higher,3943,574,6,0.010452962,Higher,2020-08-19
Oxford,88,,1.6,Higher,2778,482,5,0.010373444,Higher,2020-08-19
Ashby,17,,2.1,Higher,577,97,1,0.010309278,Higher,2020-08-19
West Tisbury,13,,5,Higher,1100,196,2,0.010204082,No Change,2020-08-19
Hanover,80,,1.5,Lower,2595,397,4,0.010075567,Lower,2020-08-19
Stoneham,415,5,1.6,Lower,6706,994,10,0.010060362,Lower,2020-08-19
Weymouth,783,17,2.2,No Change,13462,1895,19,0.010026385,No Change,2020-08-19
Paxton,37,,2.9,Higher,996,207,2,0.009661836,Lower,2020-08-19
Rockport,86,,2.2,Higher,1475,208,2,0.009615385,Higher,2020-08-19
Pembroke,105,,1.5,No Change,3425,523,5,0.009560229,Lower,2020-08-19
Leominster,742,14,2.5,Lower,12477,1588,15,0.009445844,Lower,2020-08-19
Nantucket,34,,2.5,Higher,3162,532,5,0.009398496,No Change,2020-08-19
Townsend,38,,1.6,No Change,1838,320,3,0.009375,Higher,2020-08-19
Somerville,1073,40,3.7,No Change,30218,5018,47,0.009366281,Lower,2020-08-19
Rockland,307,,0.8,Lower,4046,443,4,0.009029345,No Change,2020-08-19
Harwich,142,,2.3,Lower,3400,447,4,0.008948546,No Change,2020-08-19
Leicester,167,,1.9,Higher,2899,448,4,0.008928571,Lower,2020-08-19
Somerset,220,,1.2,Higher,4927,565,5,0.008849558,No Change,2020-08-19
Westport,109,,1.3,Lower,3474,567,5,0.008818342,Lower,2020-08-19
Westford,163,6,1.9,Lower,5371,1029,9,0.008746356,Lower,2020-08-19
Deerfield,15,,2.7,Higher,1154,234,2,0.008547009,Higher,2020-08-19
Longmeadow,247,7,3.2,Lower,4055,819,7,0.008547009,Lower,2020-08-19
Watertown,412,12,2.6,Higher,8794,1533,13,0.008480104,Higher,2020-08-19
Burlington,281,7,1.8,Lower,5922,944,8,0.008474576,Lower,2020-08-19
Westfield,502,11,1.9,Lower,8728,1417,12,0.008468596,Lower,2020-08-19
Waltham,1286,20,2.1,Higher,16674,2765,23,0.008318264,No Change,2020-08-19
Andover,345,14,2.8,Lower,9306,1697,14,0.008249853,Lower,2020-08-19
Millbury,229,,2.1,Lower,3270,492,4,0.008130081,Lower,2020-08-19
Dracut,501,8,1.8,Lower,9537,1240,10,0.008064516,No Change,2020-08-19
West Brookfield,26,,3.9,Higher,1305,252,2,0.007936508,Higher,2020-08-19
Ware,39,,1.4,Higher,2012,380,3,0.007894737,Higher,2020-08-19
Belchertown,128,,1.8,Lower,3145,636,5,0.007861635,Lower,2020-08-19
Lakeville,66,,1.3,Higher,2107,383,3,0.007832898,Higher,2020-08-19
Swampscott,152,,2.1,No Change,4200,767,6,0.007822686,Lower,2020-08-19
Gardner,206,5,1.8,Higher,7738,771,6,0.007782101,No Change,2020-08-19
Braintree,844,8,1.5,Higher,10592,1575,12,0.007619048,No Change,2020-08-19
Monson,45,,0.8,No Change,1482,263,2,0.007604563,Lower,2020-08-19
Chelmsford,365,8,1.6,No Change,9921,1449,11,0.007591442,No Change,2020-08-19
Concord,190,8,3.1,Higher,6563,1187,9,0.00758214,Higher,2020-08-19
Hopedale,49,,2.5,No Change,1700,264,2,0.007575758,No Change,2020-08-19
Lunenburg,72,,2.1,No Change,2421,402,3,0.007462687,Lower,2020-08-19
